2025-08-10 10:40:15.034 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:73ms 登录成功
2025-08-10 10:40:15.058 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-08-10 10:40:15.379 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 10:40:15.405 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:3ms 获取对话历史成功（空结果）
2025-08-10 10:44:03.780 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-08-10 10:44:04.196 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:31ms 管理员查询对话历史成功
2025-08-10 10:44:06.597 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-08-10 10:44:08.671 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 10:44:08.690 [http-nio-8081-exec-9] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 10:44:08.852 [http-nio-8081-exec-10] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:5ms 管理员查询对话历史成功
2025-08-10 10:44:11.825 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-08-10 10:44:12.277 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:3ms 获取用户上传文件成功
2025-08-10 10:44:18.565 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-08-10 10:44:37.739 [http-nio-8081-exec-7] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:3ms 获取用户信息成功
2025-08-10 10:44:46.885 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:5ms 获取用户信息成功
2025-08-10 10:44:47.287 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_ORG_TAGS] 耗时:9ms 获取组织标签成功
2025-08-10 10:44:49.091 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:4ms 获取用户信息成功
2025-08-10 10:44:49.461 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_CONVERSATIONS] 耗时:5ms 获取对话历史成功
2025-08-10 14:41:36.444 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [USER_LOGIN] 耗时:62ms 登录成功
2025-08-10 14:41:36.457 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-08-10 14:41:36.473 [http-nio-8081-exec-4] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 14:41:36.965 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:2ms 获取用户上传文件成功
2025-08-10 14:52:59.057 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 14:53:09.257 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:1ms 获取用户信息成功
2025-08-10 14:53:13.236 [http-nio-8081-exec-2] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 14:53:13.887 [http-nio-8081-exec-5] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_UPLOADED_FILES] 耗时:1ms 获取用户上传文件成功
2025-08-10 14:53:27.003 [http-nio-8081-exec-1] INFO  com.yizhaoqi.smartpai.performance - [性能] [UPLOAD_CHUNK] 耗时:215ms 分片上传成功
2025-08-10 14:53:28.470 [http-nio-8081-exec-3] INFO  com.yizhaoqi.smartpai.performance - [性能] [MERGE_FILE] 耗时:1451ms 文件合并成功
2025-08-10 14:54:53.336 [http-nio-8081-exec-6] INFO  com.yizhaoqi.smartpai.performance - [性能] [GET_USER_INFO] 耗时:2ms 获取用户信息成功
2025-08-10 14:54:53.599 [http-nio-8081-exec-8] INFO  com.yizhaoqi.smartpai.performance - [性能] [ADMIN_GET_ALL_CONVERSATIONS] 耗时:4ms 管理员查询对话历史成功
